Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Customer_Name,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Container,Target
Not Specified,27,566.12,Regular Air,-19.33,Joy Smith,Atlantic,Corporate,Furniture,Office Furnishings,Large Box,0
Medium,31,1784.048,Regular Air,394.45,Luke Weiss,West,Corporate,Technology,Telephones and Communication,Small Box,1
High,8,468.49,Regular Air,-6.37,Rob Dowd,West,Corporate,Office Supplies,Appliances,Small Box,0
Low,34,2154.34,Regular Air,177.66,Rob Haberlin,West,Consumer,Office Supplies,Storage & Organization,Small Box,1
Critical,23,93.05,Regular Air,15.27,Carlos Soltero,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,8,216.33,Regular Air,-17.37,Joy Smith,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,5,2543.95,Regular Air,-1011.32,Jack Lebron,Atlantic,Corporate,Technology,Copiers and Fax,Large Box,0
Critical,12,2011.6355,Express Air,-53.69,Bart Watters,Prarie,Corporate,Technology,Telephones and Communication,Small Box,0
Critical,34,225.98,Regular Air,-135.74,Meg O'Connel,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,29,94.5,Regular Air,39.9,Sally Knutson,West,Corporate,Office Supplies,Labels,Small Box,1
High,24,68.88,Regular Air,1.31,Ralph Kennedy,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,31,157.79,Regular Air,-95.92,Charles McCrossin,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Medium,50,1406.64,Regular Air,424.36,Kelly Williams,West,Corporate,Office Supplies,Envelopes,Small Box,1
High,47,256.0,Regular Air,-119.84,Edward Hooks,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,0
Medium,30,1580.6005,Regular Air,303.53,Lela Donovan,West,Corporate,Technology,Telephones and Communication,Small Box,1
Low,34,74.3,Regular Air,-129.01,Jim Radford,Northwest Territories,Corporate,Furniture,Office Furnishings,Small Box,0
High,13,47.93,Regular Air,15.82,Dennis Bolton,West,Consumer,Office Supplies,Labels,Small Box,1
Low,28,697.5,Regular Air,169.89,Shahid Shariari,West,Corporate,Technology,Office Machines,Medium Box,1
Medium,9,89.55,Regular Air,-375.64,Jim Radford,Nunavut,Corporate,Office Supplies,Appliances,Large Box,0
Not Specified,47,925.3,Regular Air,257.31,Liz Price,Atlantic,Consumer,Office Supplies,Paper,Small Box,1
Critical,14,91.75,Regular Air,2.82,Julie Creighton,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,15,81.66,Regular Air,-31.99,Neil Knudson,West,Corporate,Office Supplies,Paper,Small Box,0
Low,13,63.33,Regular Air,-39.96,Carlos Soltero,Prarie,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
High,27,4722.83,Regular Air,1749.78,Sally Knutson,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Medium,36,4711.244,Regular Air,1380.32,Christopher Schild,Prarie,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,1,97.13,Regular Air,-37.06,Carlos Daly,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,0
Critical,22,127.33,Regular Air,5.3,Sean O'Donnell,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,43,170.81,Regular Air,-133.68,Luke Weiss,West,Corporate,Office Supplies,Paper,Small Box,0
Low,34,223.59,Regular Air,-66.05,Jim Sink,West,Corporate,Office Supplies,Paper,Small Box,0
Critical,26,187.16,Regular Air,29.33,Kelly Williams,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,20,638.72,Regular Air,-130.88,Chuck Magee,Prarie,Corporate,Technology,Computer Peripherals,Small Box,0
Not Specified,11,10145.14,Regular Air,3724.57,Lela Donovan,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,9,106.05,Regular Air,-14.52,Meg O'Connel,Ontario,Corporate,Office Supplies,Appliances,Medium Box,0
Medium,47,695.99,Express Air,-157.44,Seth Vernon,West,Home Office,Office Supplies,Storage & Organization,Small Box,0
Not Specified,43,241.19,Regular Air,-103.65,Joy Smith,Atlantic,Consumer,Office Supplies,Paper,Small Box,0
Critical,8,49.04,Regular Air,9.29,Brad Norvell,Prarie,Corporate,Office Supplies,Envelopes,Small Box,1
Low,40,255.48,Regular Air,-116.79,Grant Carroll,Nunavut,Corporate,Office Supplies,Paper,Small Box,0
High,42,451.32,Regular Air,1.16,Art Ferguson,Atlantic,Corporate,Furniture,Office Furnishings,Small Box,1
High,42,557.85,Regular Air,89.45,Harold Engle,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,5,25.34,Regular Air,-21.29,Justin Hirsh,West,Consumer,Office Supplies,Appliances,Small Box,0
High,36,3722.29,Express Air,950.68,Thomas Seio,Northwest Territories,Home Office,Furniture,Office Furnishings,Medium Box,1
Not Specified,10,1925.83,Regular Air,359.83,Meg O'Connel,Prarie,Corporate,Office Supplies,Appliances,Small Box,1
Medium,36,152.96,Regular Air,-123.87,Erica Bern,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Medium,50,751.77,Regular Air,353.2,Barry Weirich,Nunavut,Corporate,Office Supplies,Envelopes,Small Box,1
Low,33,511.83,Regular Air,-172.88,Carl Ludwig,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,24,238.25,Regular Air,-83.55,Chuck Clark,Atlantic,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,42,286.73,Regular Air,-141.51,Ralph Kennedy,West,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,18,136.29,Regular Air,-77.28,Ralph Knight,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,25,1809.0125,Regular Air,795.05,Shahid Shariari,West,Corporate,Technology,Telephones and Communication,Small Box,1
Medium,35,17387.65,Regular Air,6907.61,Charles McCrossin,Northwest Territories,Corporate,Technology,Copiers and Fax,Large Box,1
Not Specified,42,1498.46,Regular Air,565.37,Peter Buhler,West,Consumer,Furniture,Office Furnishings,Small Box,1
High,19,1781.11,Regular Air,51.44,Giulietta Weimer,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
Critical,13,49.74,Regular Air,17.7,Neil Knudson,West,Corporate,Office Supplies,Labels,Small Box,1
High,18,1038.4,Regular Air,112.36,Jack Lebron,Atlantic,Corporate,Office Supplies,Appliances,Small Box,1
Low,29,87.68,Regular Air,23.14,Chuck Clark,Atlantic,Corporate,Office Supplies,Labels,Small Box,1
Low,11,618.1965,Regular Air,-132.53,Joseph Airdo,Ontario,Consumer,Technology,Telephones and Communication,Small Box,0
Medium,45,12571.63,Regular Air,5455.96,Lycoris Saunders,Ontario,Corporate,Technology,Office Machines,Medium Box,1
Medium,3,33.64,Regular Air,-22.45,Chuck Magee,Atlantic,Corporate,Office Supplies,Paper,Small Box,0
Not Specified,14,125.54,Express Air,-15.74,Alex Avila,West,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,7,2039.56,Express Air,-329.49,Bryan Davis,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Large Box,0
Critical,15,4012.58,Express Air,-425.14,Kristina Nunn,Atlantic,Consumer,Office Supplies,Storage & Organization,Large Box,0
Not Specified,39,3401.8,Express Air,-508.87,Tony Chapman,Atlantic,Consumer,Office Supplies,Storage & Organization,Small Box,0
Critical,21,256.12,Regular Air,-18.19,Brendan Dodson,Northwest Territories,Corporate,Office Supplies,Appliances,Small Box,0
Not Specified,14,136.85,Regular Air,-4.43,Annie Thurman,Ontario,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,29,271.33,Regular Air,-191.09,Rob Dowd,West,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,1,21.45,Regular Air,-7.22,Bill Donatelli,Ontario,Corporate,Office Supplies,Appliances,Medium Box,0
Not Specified,16,68.45,Regular Air,-57.88,Lela Donovan,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,44,5347.13,Regular Air,1886.41,Bill Donatelli,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,22,440.92,Express Air,-65.18,Julia West,Northwest Territories,Small Business,Furniture,Office Furnishings,Small Box,0
Not Specified,32,294.04,Regular Air,-5.53,Joy Smith,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,3,63.84,Regular Air,-47.97,Justin Knight,West,Corporate,Office Supplies,Storage & Organization,Small Box,0
Not Specified,12,72.82,Regular Air,5.03,Chad Sievert,West,Corporate,Office Supplies,Envelopes,Small Box,1
Low,44,268.34,Regular Air,-240.83,Doug Bickford,Northwest Territories,Corporate,Office Supplies,Paper,Small Box,0
Critical,45,698.1,Regular Air,336.25,Meg O'Connel,Ontario,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,5,14.76,Regular Air,1.32,Aaron Bergman,Nunavut,Corporate,Office Supplies,Labels,Small Box,1
Low,39,2083.0525,Express Air,354.96,Harold Engle,Atlantic,Home Office,Technology,Telephones and Communication,Small Box,1
Not Specified,36,277.88,Regular Air,-64.41,Liz Price,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,38,2063.42,Regular Air,989.95,Bill Donatelli,Ontario,Corporate,Office Supplies,Paper,Small Box,1
High,23,445.17,Regular Air,38.11,Guy Thornton,Ontario,Corporate,Office Supplies,Paper,Small Box,1
Low,31,3229.66,Express Air,695.06,Jennifer Braxton,Atlantic,Small Business,Technology,Telephones and Communication,Small Box,1
Not Specified,34,772.56,Express Air,143.87,Maria Bertelson,Ontario,Home Office,Office Supplies,Appliances,Small Box,1
Low,42,372.69,Express Air,-177.03,Rob Beeghly,Ontario,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Not Specified,32,824.24,Regular Air,-127.23,Ken Lonsdale,Prarie,Consumer,Technology,Computer Peripherals,Small Box,0
Low,25,854.88,Regular Air,-44.14,Doug Bickford,Northwest Territories,Corporate,Furniture,Office Furnishings,Small Box,0
Medium,25,409.08,Regular Air,78.86,Matt Collins,West,Consumer,Furniture,Office Furnishings,Small Box,1
Not Specified,9,252.79,Regular Air,58.23,Don Jones,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,24,67.35,Regular Air,22.63,Ralph Kennedy,West,Corporate,Office Supplies,Labels,Small Box,1
Medium,17,1616.64,Regular Air,26.94,Jack Lebron,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,1
High,18,507.64,Regular Air,118.94,Eugene Barchas,Nunavut,Corporate,Office Supplies,Paper,Small Box,1
Critical,24,135.88,Regular Air,-75.39,Shahid Shariari,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
Medium,7,27.99,Regular Air,-0.17,Rob Haberlin,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Critical,19,7608.88,Express Air,3049.45,Harold Engle,Atlantic,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,37,6477.7395,Regular Air,1653.97,Liz MacKendrick,Ontario,Corporate,Technology,Telephones and Communication,Small Box,1
Low,11,178.57,Regular Air,-37.39,Justin Hirsh,West,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0
High,34,667.35,Regular Air,80.92,Hilary Holden,Atlantic,Corporate,Office Supplies,Paper,Small Box,1
Medium,29,843.55,Regular Air,168.76,Mark Cousins,West,Corporate,Office Supplies,Paper,Small Box,1
Not Specified,48,447.89,Regular Air,-26.78,Giulietta Weimer,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,32,270.73,Express Air,-54.57,Bill Donatelli,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
Low,25,3019.41,Regular Air,1269.05,Brendan Dodson,Northwest Territories,Corporate,Technology,Office Machines,Medium Box,1
Low,32,5686.25,Regular Air,2109.21,Michelle Lonsdale,Atlantic,Corporate,Office Supplies,Appliances,Small Box,1
Medium,9,23.46,Regular Air,4.58,Rob Haberlin,West,Corporate,Office Supplies,Labels,Small Box,1
Not Specified,49,5247.4835,Regular Air,1465.87,Ann Chong,Northwest Territories,Corporate,Technology,Telephones and Communication,Small Box,1
High,19,257.97,Regular Air,33.18,Bruce Stewart,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
High,47,945.03,Regular Air,267.64,Dan Reichenbach,Atlantic,Corporate,Office Supplies,Paper,Small Box,1
Not Specified,18,101.34,Regular Air,26.11,Jim Sink,Atlantic,Corporate,Office Supplies,Envelopes,Small Box,1
Not Specified,2,19.02,Express Air,10.73,Ralph Kennedy,West,Corporate,Furniture,Office Furnishings,Small Box,1
Low,43,1307.35,Express Air,-154.24,Maria Bertelson,Ontario,Home Office,Technology,Computer Peripherals,Small Box,0
High,23,249.64,Regular Air,-91.65,Ivan Gibson,Ontario,Corporate,Office Supplies,Storage & Organization,Small Box,0
Critical,43,264.75,Regular Air,-212.51,Julia Dunbar,Prarie,Consumer,Office Supplies,Paper,Small Box,0
Low,5,397.55,Regular Air,-152.47,Brad Norvell,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,0
Medium,9,50.93,Regular Air,-34.98,Joy Smith,Atlantic,Consumer,Office Supplies,Paper,Small Box,0
Not Specified,10,309.3,Express Air,-77.89,Evan Minnotte,Atlantic,Corporate,Technology,Computer Peripherals,Small Box,0
High,26,73.82,Regular Air,2.01,Mike Kennedy,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Critical,32,1829.387,Regular Air,482.45,Art Ferguson,Atlantic,Corporate,Technology,Telephones and Communication,Small Box,1
Critical,19,108.21,Express Air,-50.02,Russell Applegate,Ontario,Home Office,Office Supplies,Paper,Small Box,0
Critical,45,282.98,Regular Air,-237.47,Dana Kaydos,Prarie,Corporate,Office Supplies,Paper,Small Box,0
Critical,36,2051.016,Express Air,483.97,Christopher Martinez,West,Small Business,Technology,Telephones and Communication,Small Box,1
Low,6,2528.49,Express Air,580.15,Jack Lebron,Atlantic,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1
Low,26,53.93,Regular Air,-10.95,Rob Dowd,West,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0
High,28,4479.16,Regular Air,610.9,Joy Smith,Prarie,Corporate,Office Supplies,Storage & Organization,Small Box,1
Not Specified,13,59.03,Express Air,26.92,Carlos Soltero,Nunavut,Consumer,Office Supplies,Labels,Small Box,1
